num,text,timestamp,label,location,date,resources,clean_text
101,Today #IFFS providing #food @ Four Oaks NC Dollar General Store on Wellons St starts 3pm #tornado,1970-01-01 00:00:00.000040656,1,Hyderabad,1970-01-01,['food'],today providing four oaks nc dollar general store wellons st starts pm
102,We all know n StL a Tornado touchdown n North Co. Tonight and there r many families without homes now. I'm buying food baskets tomorrow cont,1970-01-01 00:00:00.000040656,0,Kolkata,1970-01-01,['food'],we know n stl tornado touchdown n north co tonight r many families without homes now im buying food baskets tomorrow cont
104,It's a tornado warning going off n this drunk came in to order food! H wtf is wrong with ppl! ?,1970-01-01 00:00:00.000040656,1,Mumbai,1970-01-01,['food'],its tornado warning going off n this drunk came order food h wtf wrong ppl
105,I'm not leaving towers for food. Ugh I don't want to it's wet outside. N in cape ah tornado my pop up outta nowhere ugh! #icant,1970-01-01 00:00:00.000040656,1,Hyderabad,1970-01-01,['food'],im leaving towers food ugh i dont want its wet outside n cape ah tornado my pop outta nowhere ugh
126,"@Jill1228 @bendanielsss If a tornado takes my food, I'm not gonna cry, unless it's tempura sushi or teriyaki wings :p",1970-01-01 00:00:00.000040656,1,Bangalore,1970-01-01,['food'],if tornado takes my food im gonna cry unless its tempura sushi teriyaki wings p
128,@christian1021 We got locked down in the stockroom of Target during our Tornado emergency last week.  No food. :(,1970-01-01 00:00:00.000040656,1,Bangalore,1970-01-01,['food'],we got locked down stockroom target during our tornado emergency last week food
130,@AlexaJaySays @taywalraven #uknowurfat when a tornado is about to hit the mall nsted of taking cover u went to foodcourt & got food lol,1970-01-01 00:00:00.000040656,1,Kolkata,1970-01-01,['food'],when tornado hit mall nsted taking cover u went foodcourt got food lol
133,Sittin on the porch in Jennings mad cuz I'm hungry as fuck..this tornado messin wit my food..,1970-01-01 00:00:00.000040656,1,Chennai,1970-01-01,['food'],sittin porch jennings mad cuz im hungry as fuckthis tornado messin wit my food
135,Grinding with @madison_broers in the food court in the tornado.. Best time of my life! #swagg #thistornadoisafreakinghugedeal ,1970-01-01 00:00:00.000040656,0,Mumbai,1970-01-01,['food'],grinding food court tornado best time my life
137,Love when the mall gets evacuated to the food court cause of a tornado,1970-01-01 00:00:00.000040656,0,Kolkata,1970-01-01,['food'],love when mall gets evacuated food court cause tornado
138,Chinese food during a Tornado Warning #Winning,1970-01-01 00:00:00.000040656,0,Bangalore,1970-01-01,['food'],chinese food during tornado warning
140,Bacon and pancakes.. Best tornado food ever!! #yummy ,1970-01-01 00:00:00.000040656,0,Kolkata,1970-01-01,['food'],bacon pancakes best tornado food ever
141,No fOod in this house as usual and now there is a thunderstorm/tornado warning!fml,1970-01-01 00:00:00.000040656,1,Kolkata,1970-01-01,['food'],food this house as usual now thunderstormtornado warningfml
142,RT @tanyariveraon2: Food 2 Families Tornado Relief In Full Swing! Fill Up The Truck At The Lowes Foods On New Garden Road In GSO.,1970-01-01 00:00:00.000040656,1,Kolkata,1970-01-01,['food'],rt food families tornado relief full swing fill truck lowes foods new garden road gso
149,@GeminiTwin92 is the only bitch I know that's thinking about food during a tornado smh lol,1970-01-01 00:00:00.000040659,1,Bangalore,1970-01-01,['food'],bitch i know thats thinking food during tornado smh lol
150,fuck a tornado .. where the FUCK is my food ? :O,1970-01-01 00:00:00.000040659,1,Mumbai,1970-01-01,['food'],fuck tornado where fuck my food o
151,"fuck a tornado .. i'm hungry . where the food at , bro ?",1970-01-01 00:00:00.000040659,1,Hyderabad,1970-01-01,['food'],fuck tornado im hungry where food bro
154,"Local news: Church has food available for tornado victims: A New Bern church has food aplenty — 14,000 pounds — ... http://bit.ly/guNxUV",1970-01-01 00:00:00.000040659,0,Chennai,1970-01-01,['food'],local news church has food available tornado victims new bern church has food aplenty pounds
155,There's another tornado watch in the food ol M-Town! In other news water is wet.,1970-01-01 00:00:00.000040659,1,Bangalore,1970-01-01,"['food', 'water']",theres another tornado watch food ol mtown news water wet
158,If ima go get food I better do it befre that tornado hit,1970-01-01 00:00:00.000040659,1,Hyderabad,1970-01-01,['food'],if ima go get food i better do it befre that tornado hit
184,Tonight you can help people right in your community. Free music + food @ Tir Na Nog - Benefit for Tornado Victims: http://www.facebook.com/event.php?eid=167236456668575&index=1 …,1970-01-01 00:00:00.000040659,0,Hyderabad,1970-01-01,['food'],tonight you help people right your community free music food tir na nog benefit tornado victims
186,"Harmony - harmonious laws and notes which are in many ways: music, body movements, food, wine, sex, love, etc. In a head - a tornado,",1970-01-01 00:00:00.000040659,0,Kolkata,1970-01-01,['food'],harmony harmonious laws notes which many ways music body movements food wine sex love etc head tornado
187,Spinnin like a tornado..then i eat it up like its gourmet food. She know she can get it. ;),1970-01-01 00:00:00.000040659,1,Kolkata,1970-01-01,['food'],spinnin like tornadothen i eat it like its gourmet food she know she get it
188,=@JamalDumbass No i had the best food today... And there was No TORNADO outside ur window.. Or u would not eat,1970-01-01 00:00:00.000040659,0,Mumbai,1970-01-01,['food'],i had best food today tornado outside ur window u would eat
190,"Since there's a ""tornado"" coming I'm stocking up on food lol",1970-01-01 00:00:00.000040659,0,Hyderabad,1970-01-01,['food'],since theres tornado coming im stocking food lol
195,@MarylandMudflap it's not their fault. The tornados would follow them where ever they went. Tornados feed on the poor. #tornadofood,1970-01-01 00:00:00.000040659,1,Chennai,1970-01-01,['food'],its their fault tornados would follow them where ever they went tornados feed poor
201,Got thrown out of the campus dining hall w/o food b/c of a tornado watch. I guess tonight's dinner will be stale poptarts.,1970-01-01 00:00:00.000040659,0,Mumbai,1970-01-01,['food'],got thrown out campus dining hall wo food bc tornado watch i guess tonights dinner be stale poptarts
202,Whoooo im in my tent with some food and listening to the tornado radio man. Life's good. NAHT :( ,1970-01-01 00:00:00.000040659,0,Chennai,1970-01-01,['food'],whoooo im my tent food listening tornado radio man lifes good naht
203,"Not so sure this tornado is really worth food from the school Deli.
#shouldistay.shouldigo",1970-01-01 00:00:00.000040659,1,Bangalore,1970-01-01,['food'],sure this tornado really worth food school deli shouldigo
204,"Just got the text !out a tornado warning and to take shelter, 1st thing I did was warm m food and charge my phone in case I lose power #sad",1970-01-01 00:00:00.000040659,1,Delhi,1970-01-01,"['food', 'shelter']",got text out tornado warning take shelter st thing i did warm m food charge my phone case i lose power
205,Very good RT @wxbrad: We're filling 2 tractor trailers full of food and furniture for tornado survivors! TV News CAN be a good thing.,1970-01-01 00:00:00.000040655,0,Hyderabad,1970-01-01,['food'],good rt filling tractor trailers full food furniture tornado survivors tv news be good thing
207,OMG so much food.  So much wine.  And now we are under a tornado warning.,1970-01-01 00:00:00.000040655,0,Chennai,1970-01-01,['food'],omg much food much wine now we tornado warning
208,Either the winds getting up outside or I've got a tornado in my pants :-) given that the Harpers food was spicy I'll go with the latter :-D,1970-01-01 00:00:00.000040655,0,Bangalore,1970-01-01,['food'],either winds getting outside ive got tornado my pants given that harpers food spicy ill go latter d
211,Anybody wanna take me to get some food...when this tornado shit over,1970-01-01 00:00:00.000040655,1,Hyderabad,1970-01-01,['food'],anybody wanna take me get foodwhen this tornado shit
212,Dis nigga got famous cuz da damn tornado took his damn food,1970-01-01 00:00:00.000040655,1,Kolkata,1970-01-01,['food'],dis nigga got famous cuz da damn tornado took his damn food
213,RT @ReddingWriting: We're filling 2 tractor trailers full of food and furniture for tornado survivors! TV News CAN be a good thing.,1970-01-01 00:00:00.000040655,0,Chennai,1970-01-01,['food'],rt filling tractor trailers full food furniture tornado survivors tv news be good thing
214,We're filling 2 tractor trailers full of food and furniture for tornado survivors! TV News CAN be a good thing.,1970-01-01 00:00:00.000040655,0,Hyderabad,1970-01-01,['food'],filling tractor trailers full food furniture tornado survivors tv news be good thing
216,Food 2 Families  Tornado Relief In Full Swing! Fill Up The Truck At The Lowes Foods On New Garden Road In GSO.,1970-01-01 00:00:00.000040655,0,Kolkata,1970-01-01,['food'],food families tornado relief full swing fill truck lowes foods new garden road gso
217,RT @invitecottage: Where is best place in #Raleigh to take food AND clothing for #tornado victims? (Downtown location?),1970-01-01 00:00:00.000040655,1,Bangalore,1970-01-01,['food'],rt where best place take food clothing victims downtown location
218,Where is best place in #Raleigh to take food AND clothing for #tornado victims?,1970-01-01 00:00:00.000040655,1,Kolkata,1970-01-01,['food'],where best place take food clothing victims
220,RT @traceymccain Thanks for donating to Food 2 Families Tornado Relief Drive. Keep the momentum going. @LowesFoods on New Garden @digtriad,1970-01-01 00:00:00.000040655,0,Delhi,1970-01-01,['food'],rt thanks donating food families tornado relief drive keep momentum going new garden
222,Thank you for donating to our Food 2 Families Tornado Relief Drive.  Let's keep the momentum going. @lowesfoods New Garden Rd. @digtriad,1970-01-01 00:00:00.000040655,0,Chennai,1970-01-01,['food'],thank you donating our food families tornado relief drive lets keep momentum going new garden rd
223,*munches potato chips* but Mr. @mlp_spike food is sooo good Ms. @mlp_twilight,1970-01-01 00:00:00.000040655,0,Bangalore,1970-01-01,['food'],munches potato chips but mr food sooo good ms
246,@digtriad & @LowesFoods collecting food/water/furniture/$ for tornado relief. 5a-7p Fri & 7a-7p Sat > #GSO Lowes on New Garden - Pls RT,1970-01-01 00:00:00.000040655,1,Bangalore,1970-01-01,"['food', 'water']",collecting foodwaterfurniture tornado relief ap fri ap sat lowes new garden pls rt
247,FreebieQueen Update: Stop By Tornado Relief Donation Truck Today http://bit.ly/hEDJ4Q #food #free #coupons,1970-01-01 00:00:00.000040655,0,Hyderabad,1970-01-01,['food'],freebiequeen update stop tornado relief donation truck today
248,Stop By Tornado Relief Donation Truck Today: Examples of non-perishable food needed in the case of a natural dis... http://bit.ly/g2HNyC,1970-01-01 00:00:00.000040655,0,Kolkata,1970-01-01,['food'],stop tornado relief donation truck today examples nonperishable food needed case natural dis
252,"RT @ifindgreatdeals: Live in Raleigh? Go to Strickland Rd @LowesFoods to donate items (toiletries, food, cash) to the Tornado victims.",1970-01-01 00:00:00.000040655,0,Bangalore,1970-01-01,['food'],rt live raleigh go strickland rd donate items toiletries food cash tornado victims
256,"Live in Raleigh, NC, head to the Strickland Rd @LowesFoods to donate items (they need toiletries, food, cash) to the Tornado victims.",1970-01-01 00:00:00.000040655,0,Hyderabad,1970-01-01,['food'],live raleigh nc head strickland rd donate items they need toiletries food cash tornado victims
259,Sandra Hughes is live at the Lowes Food Store on New Garden Road helping us collect items for tornado victims.  We'd love your donation.,1970-01-01 00:00:00.000040655,0,Mumbai,1970-01-01,['food'],sandra hughes live lowes food store new garden road helping us collect items tornado victims wed love your donation
262,"Do you like 78 MPH winds? Come to Carbondale, go to University Mall, spend $2, and try the tornado simulator near the food court. #party",1970-01-01 00:00:00.000040655,1,Hyderabad,1970-01-01,['food'],do you like mph winds come carbondale go university mall spend try tornado simulator near food court
264,"*after @mlp_Tornado and @mlp_Sweetie get food* @mlp_Rarity! If it's okay with you, I'm gonna take off.. that lighting magic wore me out.",1970-01-01 00:00:00.000040655,1,Bangalore,1970-01-01,['food'],get food if its okay you im gonna take off that lighting magic wore me out
265,Food drive for tornado victims Saturday in Chatham: By John Crane The Community Center at Chatham is teaming up ... http://bit.ly/fK4pxm,1970-01-01 00:00:00.000040655,0,Hyderabad,1970-01-01,['food'],food drive tornado victims saturday chatham john crane community center chatham teaming
270,My girl Cheryl and new Whole Foods North Raleigh donated some serious deliciousness to help feed some tornado victims tonight... THANK YOU!,1970-01-01 00:00:00.000040654,0,Mumbai,1970-01-01,['food'],my girl cheryl new whole foods north raleigh donated serious deliciousness help feed tornado victims tonight thank you
275,HUGE thanks to @WFM_Cary who has loaded up my car to capacity with donated food for serving to tornado victims. Unexpected and moved.,1970-01-01 00:00:00.000040654,0,Chennai,1970-01-01,['food'],huge thanks who has loaded my car capacity donated food serving tornado victims unexpected moved
276,"Riding through her I'm glad the tornado ain't hit us . People ain't got power , shelter , food etc .",1970-01-01 00:00:00.000040654,0,Delhi,1970-01-01,"['food', 'shelter']",riding through her im glad tornado aint hit us people aint got power shelter food etc
277,I am amazed @ t tornado(boys) that sweeps thru t house leaving a mess & no food. Thx u God for a bigger home comin soon to have more of them,1970-01-01 00:00:00.000040654,0,Bangalore,1970-01-01,['food'],i am amazed t tornadoboys that sweeps thru t house leaving mess food thx u god bigger home comin soon have them
278,"Loving these food stories: The James Weird Awards: Goldfish Racing, Bungled Burglars, and a Burger-Snatching Tornado http://shar.es/Hq8gp",1970-01-01 00:00:00.000040654,0,Hyderabad,1970-01-01,['food'],loving these food stories james weird awards goldfish racing bungled burglars burgersnatching tornado
279,"@LaurenBiebsGaga they we're like ""don't u think born this way sounds like sum other song"" she made them food and they said it wasn't nice",1970-01-01 00:00:00.000040654,0,Kolkata,1970-01-01,['food'],they like dont u think born this way sounds like sum song she made them food they said it wasnt nice
280,I feel really good! Thank you to every one who came out to give money or food. We raised over a thousand dollars for the tornado victims!,1970-01-01 00:00:00.000040654,0,Mumbai,1970-01-01,['food'],i feel really good thank you every one who came out give money food we raised thousand dollars tornado victims
281,This video is from fred's food club where I live RT @jimmykimmel world's calmest man vs. tornado http://www.youtube.com/watch?v=aijg8hWU4fM,1970-01-01 00:00:00.000040654,1,Hyderabad,1970-01-01,['food'],this video freds food club where i live rt worlds calmest man vs tornado
288,RT @digtriad We joined with @LowesFoods to collect food/water/furniture/$ for tornado relief. 5a-7p Fri & 7a-7p Sat #GSO Lowes on New Garden,1970-01-01 00:00:00.000040654,1,Chennai,1970-01-01,"['food', 'water']",rt we joined collect foodwaterfurniture tornado relief ap fri ap sat lowes new garden
311,"If you're coming to the Idol party tonight at the auditorium/rec center, be sure to bring canned food for tornado relief. See you tonight.",1970-01-01 00:00:00.000040654,0,Bangalore,1970-01-01,['food'],if youre coming idol party tonight auditoriumrec center be sure bring canned food tornado relief see you tonight
312,*giggles as a cupcake lands on his head* it can rain food!? this is awesome!,1970-01-01 00:00:00.000040654,0,Delhi,1970-01-01,['food'],giggles as cupcake lands his head it rain food this awesome
313,Hey Raleighwood... anyone have a proper channel for tornado relief funds? Food/bar/band community wants to help but needs the avenue.,1970-01-01 00:00:00.000040654,1,Hyderabad,1970-01-01,['food'],hey raleighwood anyone have proper channel tornado relief funds foodbarband community wants help but needs avenue
314,"Just to let u all know: We are loading up MORE donated ice, water and food from FOOD LION for tornado victims! Way to go Food Lion!",1970-01-01 00:00:00.000040654,0,Mumbai,1970-01-01,"['food', 'water']",let u know we loading donated ice water food food lion tornado victims way go food lion
316,Hey friends! I'm taking part in WSET's Tornado Relief fund. Stop by Food Lion on Westover Dr. & bring a donation :),1970-01-01 00:00:00.000040654,0,Mumbai,1970-01-01,['food'],hey friends im taking part wsets tornado relief fund stop food lion westover dr bring donation
320,We joined with @LowesFoods to collect food/water/furniture/$ for tornado relief. 5a-7p Fri & 7a-7p Sat > #GSO Lowes on New Garden - Pls RT,1970-01-01 00:00:00.000040654,0,Hyderabad,1970-01-01,"['food', 'water']",we joined collect foodwaterfurniture tornado relief ap fri ap sat lowes new garden pls rt
336,"Many are w/out food due to the Tornado plz join us in serving the city, by bringing canned goods/clothing to the Boys Club Sat. April 23 @12",1970-01-01 00:00:00.000040654,0,Delhi,1970-01-01,['food'],many wout food due tornado plz join us serving city bringing canned goodsclothing boys club sat april
337,@1deringScholar lmao nawl its considered a #realmeal when you stuck in a tornado with no food tehehe,1970-01-01 00:00:00.000040653,1,Mumbai,1970-01-01,['food'],lmao nawl its considered when you stuck tornado food tehehe
340,@nate_williams Do you know of some tornado victims needing food? @hopecaferaleigh wants to help tonight!!!,1970-01-01 00:00:00.000040653,1,Chennai,1970-01-01,['food'],do you know tornado victims needing food wants help tonight
341,@Ethantp @PastorTyler @V21church Anyone know of some tornado victims needing food? @hopecaferaleigh wants to help tonight!!!,1970-01-01 00:00:00.000040653,1,Chennai,1970-01-01,['food'],anyone know tornado victims needing food wants help tonight
343,So after the tornado hit in raleigh....niggas really did go rob shit out of food lion and rent-a-center #tragic lmao,1970-01-01 00:00:00.000040653,1,Chennai,1970-01-01,['food'],tornado hit raleighniggas really did go rob shit out food lion rentacenter lmao
345,"Hey @jimmywa11 The Food Bank of Central & Eastern North Carolina is providing food, and other items for tornado relief. http://bit.ly/hNs10t",1970-01-01 00:00:00.000040653,0,Delhi,1970-01-01,['food'],hey food bank central eastern north carolina providing food items tornado relief
347,I wish I were going to this: http://bit.ly/eorVUy  The food is so good! Still dealing with tornado cleanup.,1970-01-01 00:00:00.000040653,0,Chennai,1970-01-01,['food'],i wish i going this food good still dealing tornado cleanup
348,=@BIGKerb its not but at the same time it is lol that boy was hungry And the TORNADO took his food lmao,1970-01-01 00:00:00.000040653,1,Bangalore,1970-01-01,['food'],its but time it lol that boy hungry tornado took his food lmao
351,All our xtra food from the expo today is going to tornado victims. This is why I love @hopecaferaleigh & their heart for the community.,1970-01-01 00:00:00.000040653,0,Hyderabad,1970-01-01,['food'],our xtra food expo today going tornado victims this why i love their heart community
353,No food for you poor people. #tornado  http://plixi.com/p/94267275,1970-01-01 00:00:00.000040653,1,Kolkata,1970-01-01,['food'],food you poor people
356,"Tornado's stealing a mans cheeseburger, wat will be nxt? The funniest part was at how angry the guy was that a tornado had stole his food.",1970-01-01 00:00:00.000040653,1,Bangalore,1970-01-01,['food'],tornados stealing mans cheeseburger wat be nxt funniest part how angry guy that tornado had stole his food
382,Donating food today for the tornado victims. Which I had so much more to give,1970-01-01 00:00:00.000040653,0,Chennai,1970-01-01,['food'],donating food today tornado victims which i had much give
384,"RT @MrFlexDot lol a tornado robbed this guys food http://bit.ly/fIRa2k < LOL ""hamburgers, fries and drink!""",1970-01-01 00:00:00.000040653,1,Kolkata,1970-01-01,['food'],rt lol tornado robbed this guys food lol hamburgers fries drink
385,lol a tornado robbed this guys food http://bit.ly/fIRa2k,1970-01-01 00:00:00.000040653,1,Delhi,1970-01-01,['food'],lol tornado robbed this guys food
387,Is it me or are all the people helping in NC/SC after the tornado just morbidly obese. guess they can go at least a month without food.,1970-01-01 00:00:00.000040653,1,Kolkata,1970-01-01,['food'],it me people helping ncsc tornado morbidly obese guess they go least month without food
392,Ordering food to the room. Tornado headed our way o_O,1970-01-01 00:00:00.000040653,1,Hyderabad,1970-01-01,['food'],ordering food room tornado headed our way oo
396,All my other food is frozen nd im nt bout to be standing over no stove while a tornado just passing thru: -/,1970-01-01 00:00:00.000040653,1,Delhi,1970-01-01,['food'],my food frozen nd im nt bout be standing stove while tornado passing thru
397,I am the blithering idiot who was driving in the tornado. All for food. #morons @LaurenMEdelen @MoMcGaughey,1970-01-01 00:00:00.000040653,1,Kolkata,1970-01-01,['food'],i am blithering idiot who driving tornado food
398,RT @Move4TheMONEY I woulda been hella mad if a tornado snatched my food outta my hand / lmaoo,1970-01-01 00:00:00.000040653,1,Mumbai,1970-01-01,['food'],rt i woulda been hella mad if tornado snatched my food outta my hand lmaoo
399,It ain't bullshitting out here. And I'm in line and the tornado siren done went off but I done paid so bitch better have my food,1970-01-01 00:00:00.000040653,1,Kolkata,1970-01-01,['food'],it aint bullshitting out im line tornado siren done went off but i done paid bitch better have my food
400,RT @Move4TheMONEY: I woulda been hella mad if a tornado snatched my food outta my hand-- nigga imagine dat shit blowin yo blunt out yo hand!,1970-01-01 00:00:00.000040653,1,Bangalore,1970-01-01,['food'],rt i woulda been hella mad if tornado snatched my food outta my hand nigga imagine dat shit blowin yo blunt out yo hand
